No;mainline;variants;common_developers
1;2881099/csredis;xxf2103625/XfRedis;No
2;2moveit/WPFTagControl;newky2k/WPFTagControl;No
3;a-h/FakeDbSet;realistschuckle/FakeDbSet;No
4;alkozko/NHyphenator;AG-Teammate/NHyphenator;No
5;andrewdavey/NotFoundMvc;techvice/ErrorHandlerMvc;No
6;apereo/dotnet-cas-client;JLewinski/dotnet-cas-client-with-core;No
7;Arch/UnitOfWork;moattarwork/UnitOfWork;No
8;AtaS/lowercase-dashed-route;salarcode/lowercase-dashed-route;No
9;atsushieno/nclang;VitalElement/nclang;No
10;Baseflow/XF-Material-Library;Pepsi1x1/XF-Material-Library;No
11;bmbsqd/elastic-identity;tstojecki/elastic-identity;No
12;BoletoNet/boleto2net;Tagliatti/BoletoNetCore;No
13;brianchance/MvvmCross-UserInteraction;itoledo/MvvmCross-UserInteraction;No
14;CaptiveAire/Common.Logging.Serilog;mperdeck/Common.Logging.Serilog.StructuredText;No
15;clojure/clojure-clr;arcadia-unity/clojure-clr;No
16;Code-Sharp/uHttpSharp;jcaillon/uHttpSharp;No
17;commercetools/commercetools-dotnet-sdk;albumprinter/commercetools-dotnet-sdk;No
18;CrossGeeks/PushNotificationPlugin;vikram-ma/PushNotificationPlugin;No
19;cuiliang/Cuiliang.AliyunOssSdk;cnblogs/Cuiliang.AliyunOssSdk;No
20;damianh/LibLog;doublnt/LibLog;No
21;dsbenghe/Novell.Directory.Ldap.NETStandard;mkostreba/Novell.Directory.Ldap.NETStandard;No
22;duaneedwards/nHapi;fdipuma/nHapi;No
23;dwhelan/Moq-Sequences;kellyselden/Moq-Sequences;No
24;fable-compiler/fable-templates;ctaggart/templates;No
25;featurist/Everest;timrog1/Everest-a;No
26;featurist/SelfishHttp;CollaboratingPlatypus/SelfishHttp;No
27;flagbug/YoutubeExtractor;Kimmax/SYMMExtractor;No
28;fs7744/HiveThrift;gridsum/HiveThrift;No
29;ghuntley/Heijden.Dns;ubiety/Ubiety.Dns.Core;No
30;goshippo/shippo-csharp-client;HakanL/shippo-csharp-client;No
31;harouny/NLog.Extensions.AzureTableStorage;abkonsta/NLog.Extensions.AzureTableStorage;No
32;HDFGroup/HDF.PInvoke;surban/HDF.PInvoke;No
33;henon/Python.Included;epignatelli/Python.Included;No
34;ion-sapoval/google-measurement-protocol-dotnet;kburnik/google-measurement-protocol-dotnet;No
35;jgauffin/Griffin.AdoNetFakes;martinsmith1968/Griffin.AdoNetFakes;No
36;jitbit/AspNetSaml;Displayr/AspNetSaml;No
37;jitbit/AspNetSaml;mrtristan/CoreSaml2Utils;No
38;JoshuaKGoldberg/TSLint.MSBuild;isc30/TSLint.MSBuild;No
39;kevin-montrose/Sigil;arlm/Sigil-vNext;No
40;kevin-montrose/Sigil;moljac/Sigil;No
41;krk/Stamp;Ishmaeel/StampSvnToo;No
42;lennykean/AspNetCore.ClaimsValueProvider;mthamil/AspNetCore.ClaimsValueProvider;No
43;liangshiw/LogDashboard;zouql/LogDashboard.Unofficial;No
44;Logrythmik/NLog.MongoDB;cccsdh/NLog.MongoDB20;No
45;loresoft/NLog.Mongo;swimlane/NLog.Mongo;No
46;madenwala/Yelp.Api;Pinski/Yelp.Api.Web;No
47;Mangopay/mangopay2-net-sdk;dapoulin/mangopay2-net-sdk;No
48;mehdime/DbContextScope;infrabel/GNaP.Data.Scope.EntityFramework;No
49;mercadopago/dx-dotnet;LeximSoluciones/Lexim-MercadoPago-Sdk;No
50;mitch-tofi/PushSharp.Core;IvoryRubble/PushSharp.Core;No
51;mixerp/MixERP.Net.VCards;hali4831/MixERP.Net.VCards;No
52;mokeyish/QuickGraph;Tom-Wells-NW/QuickGraph;No
53;NAXAM/stripe-ios-binding;nventive/stripe-ios-binding;No
54;ninject/Ninject;onovotny/ninject;No
55;OneDrive/onedrive-sdk-dotnet-msa-auth-adapter;yinyue200/onedrive-sdk-dotnet-msa-auth-adapter;No
56;OneSignal/OneSignal-Xamarin-SDK;nventive/OneSignal-Xamarin-SDK;No
57;pauldambra/ModulusChecker;aaxelm/ModulusChecker.NetCore;No
58;pauldambra/ModulusChecker;RedBearSys/ModulusChecker;No
59;PetrVobornik/ColorPicker;galadril/Xam.Plugin.SimpleColorPicker;No
60;poulfoged/Elasticsearch-Inside;o-mdr/Elasticsearch-Inside;No
61;pusher/pusher-http-dotnet;Innov8tiveSoftware/pusher-http-dotnet;No
62;restsharp/RestSharp;chekkan/RestSharp;No
63;SavchukSergey/asn1;secana/PeNet.Asn1;No
64;sely2k/SunSetRiseLib;KoenZomers/SunSetRiseLib;No
65;shibayan/SendGridSharp;arichika/SendGridSharp.Core;No
66;sklose/NCalc2;Unit4/NCalc2;No
67;skrusty/AsterNET.ARI;seiggy/AsterNET.ARI;No
68;sochix/TLSharp;ilyalatt/TLSharp.Fork;No
69;soitgoes/LoveSeat;vdaron/DreamSeat;No
70;SparkleNetworks/LinkedInNET;247GradLabs/LinkedInNET;No
71;stack72/TeamCitySharp;mavezeau/TeamCitySharp;No
72;stack72/TeamCitySharp;y-gagar1n/TeamCitySharp;No
73;stevejgordon/CorrelationId;huseyinulas/CorrelationId;No
74;Studyxnet/FilePicker-Plugin-for-Xamarin-and-Windows;Proyoyo/FilePicker-Plugin-for-Xamarin-and-Windows;No
75;stulzq/Hangfire.MySql.Core;akoylu/Hangfire.Oracle.Core;No
76;t4t5/sweetalert;lipis/bootstrap-sweetalert;No
77;tonyqus/npoi;WycliffeAssociates/npoi;No
78;webgio/Rotativa;aaxelm/Rotativa.NetCore;No
79;XeroAPI/XeroAPI.Net;unleashedsoftware/XeroAPI.Net;No
80;YaccConstructor/QuickGraph;KeRNeLith/QuikGraph;No
81;z26zheng/azure-documentdb-odata-sql;aboo/azure-documentdb-odata-sql;No
82;Zaczero/10MinuteMail.net;TheHllm/10MinuteMail.net;No
83;Amyris/GslCore;demetrixbio/GslCore;Yes
84;cloudfoundry/cf-dotnet-sdk;hpcloud/stackato-dotnet-sdk;Yes
85;dwhelan/Moq-Sequences;stakx/Moq.Sequences;Yes
86;et1975/FsCassy;et1975/FsCassy;Yes
87;Fody/MethodDecorator;alexeysuvorov/MethodDecorator;Yes
88;FsStorm/FsShelter.Extras;FsStorm/FsShelter.Extras;Yes
89;mdekrey/unobtrusive-angular-validation;responsivepath/unobtrusive-angular-validation;Yes